label_name	head	relation	tail	response
wild animal	wild animal	has subtype	pigeon cooing	Yes.
steam	steam	occurs in	sea or ocean	Yes.
tapping	tapping	associated with event	playing guitar	Yes.
drum	drum	emitted by	musician	Yes.
music	music	has subtype	disc scratching	Yes.
music mood	music mood	has children	happy music	Yes.
cowbell	cowbell	is a type of	musical	Yes.
carnatic music	carnatic music	has parent	asia music	Yes.
warbler chirping	warbler chirping	occurs in	grassland	Yes.
footsteps	footsteps	localized in	room	Yes.
tornado	tornado	has sibling	wind blowing	Yes.
hammering	hammering	part of scene	metalworking	Yes.
truck	truck	has subtype	air brake	Yes.
human sounds	human sounds	has subtype	announcement jingle	Yes.
sea lion barking	sea lion barking	can be heard in	beach	Yes.
hiccup	hiccup	belongs to class	human sounds	Yes.
bus	bus	described by	a vehicle designed for carrying passengers on long-distance trips	Yes.
walking	walking	associated with environment	park	Yes.
reverberation	reverberation	belongs to class	channel environment and background	Yes.
cello	cello	can be heard in	concert hall	Yes.
tire squealing	tire squealing	originates from	vehicle	Yes.
banjo	banjo	associated with environment	music jam session	Yes.
lip smacking	lip smacking	occurs in	train interior	Yes.
running	running	localized in	park	Yes.
boom	boom	has sibling	explosion	Yes.
screaming	screaming	belongs to class	human sounds	Yes.
clang	clang	belongs to class	source-ambiguous	Yes.
rustle	rustle	generated by	wind	Yes.
horse clip-clop	horse clip-clop	associated with event	galloping	Yes.
drum kit	drum kit	event composed of	drum snare	Yes.
harp	harp	belongs to class	musical instrument	Yes.
coughing	coughing	described by	a dry, hacking sound made by the throat	Yes.
canary calling	canary calling	perceived as	warning signal	Yes.
vehicle engine	vehicle engine	has subtype	car passing by	Yes.
cooking	cooking	invites action	suggests cooking techniques for specific dietary restrictions	Yes.
sliding door	sliding door	occurs in	shopping mall	Yes.
bus engine accelerating	bus engine accelerating	belongs to class	vehicle engine	Yes.
plucked string instrument	plucked string instrument	has subtype	sitar	Yes.
domestic sounds	domestic sounds	has subtype	door wood creak	Yes.
rattle (instrument)	rattle (instrument)	event composed of	rolling ball	Yes.
sound of things	sound of things	has subtype	alarm signal	Yes.
bus engine	bus engine	occurs in	public square	Yes.
domestic sounds	domestic sounds	has subtype	electric fan	Yes.
firecracker	firecracker	can be heard in	festival	Yes.
piano	piano	originates from	music genre	Yes.
tambourine	tambourine	is instance of	stringed instrument	Yes.
bathtub (filling or washing)	bathtub (filling or washing)	belongs to class	water domestic	Yes.
cymbal	cymbal	originates from	music	Yes.
source-ambiguous sounds	source-ambiguous sounds	has subtype	surface contact	Yes.
giggling	giggling	has sibling	laughing	Yes.
car	car	part of scene	highway	Yes.
music	music	has subtype	cornet	Yes.
water	water	has subtype	raindrop	Yes.
trance music	trance music	has parent	electronic music	Yes.
indoor environment	indoor environment	occurs in	inside	Yes.
water vehicle	water vehicle	localized in	ocean	Yes.
car	car	responds to	traffic congestion	Yes.
natural sounds	natural sounds	has subtype	waves	Yes.
cowbell	cowbell	has timbre	percussive	Yes.
dog	dog	can be heard in	park	Yes.
telephone dialing	telephone dialing	event composed of	keypad	Yes.
bus	bus	occurs in	public square	Yes.
hedge trimmer	hedge trimmer	occurs in	farm	Yes.
wind blowing	wind blowing	has subtype	rustling leaves	Yes.
gospel music	gospel music	has parent	christian music	Yes.
brief tone	brief tone	has children	ping	Yes.
sitar	sitar	overlaps with	sitar performance	Yes.
cello	cello	scene contains	music performance	Yes.
electric shaver	electric shaver	emitted by	person	Yes.
wind blowing	wind blowing	belongs to class	natural sounds	Yes.
chatter	chatter	belongs to class	speech	Yes.
cooking	cooking	invites action	suggests cooking techniques for specific dietary goals	Yes.
vehicle engine	vehicle engine	has subtype	motorcycle engine	Yes.
dog pant	dog pant	belongs to class	domestic animal	Yes.
uk garage	uk garage	belongs to class	electronic music	Yes.
trumpet	trumpet	precedes	military parade	Yes.
skateboard	skateboard	can be heard in	ramp	Yes.
ukulele	ukulele	produced during	playing	Yes.
rattle	rattle	originates from	factory	Yes.
bongos	bongos	localized in	concert stage	Yes.
monkey	monkey	can be heard in	zoo	Yes.
rail transport	rail transport	occurs in	train interior	Yes.
typewriter	typewriter	caused by	finger movement	Yes.
animal	animal	has subtype	dog baying	Yes.
trumpet	trumpet	warns about	emergency warning	Yes.
traffic noise	traffic noise	occurs in	construction site	Yes.
people cheering	people cheering	belongs to class	crowd	Yes.
engine idling	engine idling	has subtype	bus engine idling	Yes.
footsteps	footsteps	occurs in	train	Yes.
independent music	independent music	belongs to class	music genre	Yes.
yak	yak	belongs to class	animal	Yes.
washing dishes	washing dishes	event composed of	water splashing	Yes.
railroad car or train wagon	railroad car or train wagon	occurs in	train interior	Yes.
electric guitar	electric guitar	precedes	composing music	Yes.
knife	knife	described by	a sharp, edged tool used for cutting	Yes.
bus engine	bus engine	has subtype	bus compressor	Yes.
speech	speech	warns about	emergency situation	Yes.
roll	roll	belongs to class	source-ambiguous	Yes.
cello	cello	described by	a type of instrument played with a bow	Yes.
monologue	monologue	requires attention	sustained	Yes.
speech	speech	localized in	auditorium	Yes.
bathroom sounds	bathroom sounds	has children	water tap or faucet	Yes.
rope skipping	rope skipping	has sibling	human activities	Yes.
piano	piano	has sibling	keyboard (musical)	Yes.
coughing	coughing	occurs in	bus interior	Yes.
coffee machine	coffee machine	generated by	electricity	Yes.
singing	singing	produced during	singing rehearsal	Yes.
telephone	telephone	has children	phone ringing	Yes.
bathroom ventilation fan	bathroom ventilation fan	occurs in	home	Yes.
music mood	music mood	has subtype	tender music	Yes.
plucked string instrument	plucked string instrument	has timbre	metallic	Yes.
baby babbling	baby babbling	occurs in	train interior	Yes.
harpsichord	harpsichord	emitted by	instrument	Yes.
cat growling	cat growling	localized in	living room	Yes.
chicken or rooster clucking	chicken or rooster clucking	belongs to class	fowl animal	Yes.
church bell ringing	church bell ringing	has parent	musical instrument	Yes.
woodpecker	woodpecker	can be heard in	woodworking studio	Yes.
gospel music	gospel music	perceived as	uplifting	Yes.
car engine idling	car engine idling	originates from	vehicle	Yes.
duck	duck	perceived as	quacking	Yes.
trombone	trombone	scene contains	street performance	Yes.
trumpet	trumpet	belongs to class	musical instrument	Yes.
gong	gong	event composed of	tolling	Yes.
blowtorch	blowtorch	occurs in	aerospace manufacturing plant	Yes.
bouncing	bouncing	is a type of	ball rebound	Yes.
swing music	swing music	belongs to class	music	Yes.
wheel rolling	wheel rolling	has subtype	truck wheel rolling	Yes.
drum kit	drum kit	has parent	percussion	Yes.
monkey	monkey	has sibling	wild animal	Yes.
francolin calling	francolin calling	belongs to class	bird	Yes.
telephone busy signal	telephone busy signal	occurs in	billiard pool hall	Yes.
glass break	glass break	belongs to class	glass	Yes.
chicken or rooster	chicken or rooster	belongs to class	fowl animal	Yes.
music	music	has subtype	video game music	Yes.
cymbal	cymbal	has subtype	crash cymbal	Yes.
trumpet	trumpet	generated by	band	Yes.
cutlery or dishes	cutlery or dishes	occurs in	home	Yes.
boom	boom	originates from	construction site	Yes.
washing dishes	washing dishes	occurs in	cafe or restaurant	Yes.
bird vocalization call or song	bird vocalization call or song	occurs in	public square	Yes.
arc welding	arc welding	has parent	tools	Yes.
speech	speech	can be heard in	lecture hall	Yes.
playing badminton	playing badminton	has parent	human activities	Yes.
blowtorch	blowtorch	associated with event	heating metal	Yes.
alarm signal	alarm signal	has parent	things	Yes.
object impact	object impact	belongs to class	non-machinery impact	Yes.
baltimore oriole calling	baltimore oriole calling	has sibling	bird chirping	Yes.
steel guitar or slide guitar	steel guitar or slide guitar	belongs to class	music	Yes.
lathe spinning	lathe spinning	has parent	light engine (high frequency)	Yes.
wood	wood	scene contains	musical instrument	Yes.
bass guitar	bass guitar	belongs to class	acoustic instrument	Yes.
road vehicle	road vehicle	localized in	street	Yes.
canidae dogs wolves	canidae dogs wolves	belongs to class	wild animal	Yes.
music	music	has subtype	drum	Yes.
bowed string instrument	bowed string instrument	generated by	bow	Yes.
metro door opens or closes	metro door opens or closes	originates from	metro station exit	Yes.
water vehicle	water vehicle	emitted by	boat	Yes.
animal	animal	has subtype	chinchilla barking	Yes.
cymbal	cymbal	is variant of	musical instrument	Yes.
rodents rats mice	rodents rats mice	occurs in	pedestrian street	Yes.
harp	harp	described by	music	Yes.
non-machinery impact	non-machinery impact	has subtype	firecracker	Yes.
ding-dong	ding-dong	generated by	clock	Yes.
plucked string instrument	plucked string instrument	event composed of	plucking	Yes.
animal	animal	occurs in	beach	Yes.
air conditioner	air conditioner	occurs in	shop	Yes.
dishwasher	dishwasher	event composed of	dish drying	Yes.
opera	opera	has parent	classical music	Yes.
goose honking	goose honking	localized in	farm	Yes.
car engine idling	car engine idling	localized in	garage	Yes.
door slam	door slam	precedes	door closing	Yes.
gunshot	gunshot	can be heard in	military training	Yes.
goat or sheep bleat	goat or sheep bleat	belongs to class	farm animal	Yes.
door slam	door slam	has sibling	door domestic	Yes.
clunk	clunk	follows	motion	Yes.
horse	horse	has children	horse snort	Yes.
fire truck siren ringing	fire truck siren ringing	occurs in	cafe or restaurant	Yes.
cooking	cooking	belongs to class	domestic sounds	Yes.
washboard	washboard	can be heard in	kitchen	Yes.
didgeridoo	didgeridoo	used for	meditation	Yes.
door	door	indicates	opening	Yes.
children shouting	children shouting	originates from	playground	Yes.
other sourceless	other sourceless	belongs to class	source-ambiguous	Yes.
reggae music	reggae music	belongs to class	music genre	Yes.
baltimore oriole calling	baltimore oriole calling	belongs to class	wild animal	Yes.
bongos	bongos	belongs to class	music	Yes.
trance music	trance music	belongs to class	music	Yes.
shouting	shouting	has duration	short	Yes.
traffic noise	traffic noise	has sibling	outdoor urban or manmade	Yes.
musical instrument	musical instrument	has subtype	drum machine	Yes.
baby laughing	baby laughing	emitted by	mother	Yes.
television	television	associated with event	broadcasting	Yes.
warbler chirping	warbler chirping	originates from	bird	Yes.
music mood	music mood	has children	tender music	Yes.
djembe	djembe	localized in	concert stage	Yes.
cat meowing	cat meowing	occurs in	home	Yes.
non-machinery impact	non-machinery impact	has parent	things	Yes.
golf driving	golf driving	localized in	golf course	Yes.
bull	bull	belongs to class	wild animal	Yes.
applause	applause	caused by	applause clapping	Yes.
door	door	caused by	slamming	Yes.
erhu	erhu	is a type of	musical instrument	Yes.
trombone	trombone	occurs in	concert	Yes.
buzzer ringing	buzzer ringing	occurs in	supermarket	Yes.
cupboard open or close	cupboard open or close	occurs in	living room	Yes.
gong	gong	belongs to class	percussion	Yes.
vibraphone	vibraphone	has timbre	resonant	Yes.
onomatopoeia	onomatopoeia	has subtype	rumble	Yes.
train whistle	train whistle	occurs in	train station	Yes.
human voice	human voice	has subtype	chuckling and chortling	Yes.
air brake	air brake	produced during	slowing down	Yes.
woodpecker	woodpecker	used for	carpentry	Yes.
cowbell	cowbell	occurs in	wedding	Yes.
clavinet	clavinet	produced during	jazz performances	Yes.
domestic sounds	domestic sounds	has subtype	furniture dragging	Yes.
erhu	erhu	generated by	musician	Yes.
groaning	groaning	has duration	short	Yes.
golf driving	golf driving	localized in	golf range	Yes.
grunge	grunge	occurs in	music venue	Yes.
sniggering	sniggering	belongs to class	human sounds	Yes.
door opens or closes	door opens or closes	has subtype	door slam	Yes.
giggling	giggling	temporal component of	laughing	Yes.
human non-speech sounds	human non-speech sounds	has subtype	battle cry	Yes.
urban music	urban music	part of scene	festival	Yes.
telephone vibrating	telephone vibrating	occurs in	train interior	Yes.
gibbon howling	gibbon howling	perceived as	territorial	Yes.
cat	cat	has children	cat purring	Yes.
aircraft	aircraft	localized in	airfield	Yes.
bongos	bongos	can be heard in	live music venue	Yes.
breaking	breaking	occurs in	construction site	Yes.
dog howling	dog howling	has parent	dog	Yes.
djembe	djembe	can be heard in	music venue	Yes.
sound of things	sound of things	has subtype	office sounds	Yes.
sonar	sonar	belongs to class	things	Yes.
firecracker	firecracker	has parent	non-machinery impact	Yes.
electric train	electric train	responds to	train derailment cause effect	Yes.
truck	truck	emitted by	engine	Yes.
fly housefly	fly housefly	belongs to class	insect	Yes.
musical concepts	musical concepts	has children	loop	Yes.
woodpecker	woodpecker	part of scene	construction zone	Yes.
sailboat sailing ship	sailboat sailing ship	belongs to class	things	Yes.
rustle	rustle	is sound of	water	Yes.
guiro	guiro	is instance of	instrument	Yes.
tambourine	tambourine	described by	a musical instrument with metal jingles	Yes.
electric train	electric train	has parent	train	Yes.
oboe	oboe	scene contains	music rehearsal room	Yes.
drum	drum	has timbre	percussive	Yes.
electro	electro	warns about	electrical overvoltage	Yes.
wild animal	wild animal	has subtype	frog croak	Yes.
bus compressor	bus compressor	occurs in	public square	Yes.
explosion	explosion	has subtype	machine gun	Yes.
bugle	bugle	event composed of	military drill	Yes.
fire	fire	warns about	effect	Yes.
object fall	object fall	belongs to class	source-ambiguous	Yes.
accordion	accordion	precedes	music playing	Yes.
bus brake	bus brake	has parent	brakes squeaking	Yes.
music	music	has subtype	loop	Yes.
car skidding	car skidding	produced during	braking	Yes.
